"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"79",1,35,779.85,26383,64,"No","USA","HQ",1986,"N","X1",430000,"X3","X0","X3","X20","X1","X9","X2",118363730,276,277,516,559,7.357e+09,"N","Manufacturing",1999,0.1,35
"80",1,18,7104.79,363253,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",1999,1.33333333333333,18
"81",5,335,518926.44,869153,64,"No","USA","HQ",1851,"N","X1",1500000,"X0","X1","X3","X20","X1","X8","X1",19120150544,408,3500,27091,3500,19120150544,"Y","Finance..Insurance..Real.Estate",1999,0.0666666666666667,67
"82",2,13,7661.29,813,1,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,125,0,125,0,"N","Wholesale.Trade",1999,0.366666666666667,6.5
"83",4,574,1996913.41,44260729,64,"No","USA","Branch",NA,"N","X0",4498,"X0","X1","X0","missing","X2","X9","X2",NA,490,4,0,4000,43025852000,"N","Retail.Trade",1999,0.3,143.5
"85",4,423,888574.02,3233364,64,"No","USA","Branch",NA,"N","X0",0,"X0","X1","X0","missing","X2","X9","X0",NA,0,10,0,10,0,"N","Finance..Insurance..Real.Estate",1999,0.3,105.75
"86",1,2,245.9,279,1,"Yes","USA","Single.Location",NA,"N","X0",0,"X0","X0","X3","missing","X0","X8","X0",NA,0,3,3,3,0,"N","Manufacturing",1999,0.366666666666667,2
"90",6,606,1052322,5963615,29,"No","USA","HQ",1927,"Y","X1",1226000,"X0","X1","X3","X20","X1","X9","X1",10137204000,980,153,25600,153,10137204000,"Y","Wholesale.Trade",1999,0.0666666666666667,101
"94",2,82,11732.09,319242,1,"No","USA","HQ",1987,"N","X0",800000,"X3","X0","X3","X20","X1","X9","X2",460820597,16,277,2250,85,480544852,"N","Manufacturing",1999,0.133333333333333,41
"95",5,215,129903.92,762600,1,"No","USA","Branch",NA,"N","X0",26541,"X0","X1","X0","missing","X2","X9","X2",NA,360,100,0,900,422207712,"N","Wholesale.Trade",1999,0.3,43
"96",1,5,963.23,4508,1,"No","USA","Branch",NA,"N","X2",26992,"X0","X1","X0","missing","X2","X9","X4",NA,6125,800,0,144,12737097342,"N","Finance..Insurance..Real.Estate",1999,0.266666666666667,5
"97",2,13,117.91,8116,44,"No","USA","Branch",NA,"N","X2",0,"X0","X0","X0","missing","X2","X9","X2",NA,1211,4,0,1000,7.189e+10,"N","Manufacturing",1999,0.3,6.5
"98",1,23,2374.09,25733,1,"No","USA","HQ",1930,"N","X2",6800,"X0","X0","X3","X20","X1","X9","X1",264887041,19,20,425,20,264887041,"Y","Wholesale.Trade",1999,0.0666666666666667,23
"100",6,405,573973.11,32941724,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","X20","X0","X7","X0",62000,0,1,1,1,62000,"N","Services",1999,0.3,67.5
"101",4,290,286808.22,20241159,64,"No","USA","HQ",1966,"Y","X2",4663,"X0","X1","X3","X20","X1","X9","X1",2583469000,441,39,16000,39,2583469000,"Y","Services",1999,0.1,72.5
"102",1,78,17068.14,90738,78,"No","USA","HQ",1970,"Y","X1",625000,"X0","X1","X3","X20","X1","X9","X1",55371139000,475,153,66500,153,55371139000,"Y","Wholesale.Trade",1999,0.0666666666666667,78
"104",5,417,782837.05,8518583,122,"No","USA","Branch",NA,"N","X0",6545,"X0","X1","X0","missing","X2","X9","X3",NA,2737,11,0,146,9.554e+09,"N","Finance..Insurance..Real.Estate",1999,0.266666666666667,83.4
"105",1,29,8797.52,10974,1,"No","USA","Single.Location",2012,"N","X0",0,"X0","X1","X0","X20","X0","X7","X0",1812052,0,18,18,18,1812052,"N","Services",1999,0.266666666666667,29
"108",2,7,39.03,1697,1,"No","USA","Single.Location",NA,"N","X0",0,"X0","X1","X0","missing","X0","X9","X0",NA,0,1,1,1,0,"N","Services",1999,0.366666666666667,3.5
"110",1,21,798.72,1503,1,"No","USA","HQ",1991,"N","X1",3500,"X0","X1","X3","X20","X1","X8","X1",4370506,3,8,17,8,4370506,"Y","Finance..Insurance..Real.Estate",1999,0.133333333333333,21
"112",1,3,109.21,166,1,"No","USA","Branch",NA,"N","X0",5362,"X0","X1","X0","missing","X2","X8","X3",NA,61,9,0,38,753738596,"N","Finance..Insurance..Real.Estate",1999,0.3,3
"113",1,82,17565.72,28906,1,"No","USA","HQ",1955,"Y","X2",155000,"X0","X1","X3","X20","X1","X9","X1",271001000,39,128,183,128,271001000,"Y","Mining",1999,0.1,82
"114",1,2,0.2,2,1,"No","USA","Single.Location",1920,"N","X1",9307,"X0","X1","X3","X20","X0","X9","X0",722194,0,40,40,40,722194,"N","Services",1999,0.166666666666667,2
"115",1,21,18.47,1284,1,"No","USA","HQ",1996,"N","X2",11907,"X3","X0","X3","X20","X1","X9","X2",175086346,1211,150,565,1000,7.189e+10,"N","Manufacturing",1999,0.0666666666666667,21
"116",2,67,11975.06,135794,1,"Yes","USA","HQ",2010,"N","X2",200000,"X3","X1","X3","X20","X1","X9","X3",35,160,300,1169,300,35,"N","Wholesale.Trade",1999,0.0666666666666667,33.5
"117",2,139,78252.5,452102,64,"No","USA","HQ",2007,"N","X1",122000,"X3","X1","X3","X20","X1","X9","X2",81900843,64,150,170,150,81900843,"N","Wholesale.Trade",1999,0.1,69.5
"118",1,11,878.59,1156,1,"No","USA","HQ",1996,"N","X0",3077,"X0","X1","X13","X20","X1","X9","X1",847242,2,5,5,5,847242,"Y","Services",1999,0.166666666666667,11
"119",3,203,51498.52,1178578,1,"No","USA","HQ",1967,"Y","X1",153738,"X0","X1","X3","X20","X1","X9","X1",315076000,30,148,1023,148,315076000,"Y","Services",1999,0.0666666666666667,67.6666666666667
"122",1,34,1543.14,21905,44,"No","USA","Branch",NA,"N","X0",98396,"X0","X0","X0","missing","X2","X9","X2",NA,33,280,0,45,387832000,"N","Manufacturing",1999,0.2,34
"123",1,47,4682.67,43755,44,"No","USA","HQ",1997,"N","X2",1250,"X0","X1","X3","X20","X1","X9","X1",7334381,2,20,25,20,7334381,"Y","Transportation...Public.Utilities",1999,0.1,47
"124",2,48,46393.89,1950,1,"No","USA","HQ",1969,"N","X1",128000,"X0","X0","X3","X20","X1","X9","X1",9e+09,727,480,15000,480,9e+09,"Y","Retail.Trade",1999,0.166666666666667,24
"125",7,543,680797.91,18106361,30,"No","USA","HQ",1993,"N","X2",1200000,"X3","X1","X3","X20","X1","X9","X2",20543824,346,28,71,28,20543824,"N","Manufacturing",1999,0.1,77.5714285714286
"126",1,35,985.26,8964,64,"Yes","USA","Single.Location",2010,"N","X0",0,"X0","X1","X0","missing","X0","X9","X0",NA,0,NA,0,0,0,"N","Public.Administration",1999,0.366666666666667,35
"127",3,145,97802.67,3561231,1,"No","USA","HQ",1957,"Y","X0",504570,"X0","X1","X3","X20","X1","X8","X1",8593096000,3820,2920,71943,2920,8593096000,"Y","Retail.Trade",1999,0.0666666666666667,48.3333333333333
"129",1,14,55.24,3407,64,"No","USA","Branch",NA,"N","X0",0,"X0","X0","X0","missing","X2","X9","X1",NA,1211,3,0,1000,7.189e+10,"N","Manufacturing",1999,0.366666666666667,14
"131",1,22,1366.88,2082,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",1999,1.33333333333333,22
"132",5,639,1245778.39,12980887,78,"No","USA","HQ",1983,"Y","X0",10475,"X0","X1","X3","X20","X1","X9","X1",1.29025e+11,857,2100,231000,2100,1.29025e+11,"Y","Retail.Trade",1999,0.133333333333333,127.8
