"","total_products","total_transactions","total_revenue","total_usage","total_accounts","churned","Business_Code","Location_Type","Year_Started","Public_Private_Indicator","Owns_Rents_Code","Square_Footage","Subsidiary_Indicator","Manufacturing_Indicator","Legal_Status_Code","Currency_Code","Status_Code","Population_Code","Hierarchy_Code","Revenue__US_Dollars_","Number_of_Family_Members","Employees_Here","Employee_Count_Total","Domestic_Ultimate_Employee_Count","Domestic_Ultimate_Revenue","Global_Ultimate_Indicator","Major_Industry_Category_Name","YearCreated","PropMissing","TP"
"14071",2,134,65857.03,1865180,1,"No","EMEA","HQ",1997,"N","X0",0,"X3","X0","X3","X9410","X1","X0","X8",303497613,165,NA,1909,0,303497613,"N","Manufacturing",2013,0.333333333333333,67
"14072",2,22,59.3,3230,1,"No","EMEA","HQ",1997,"N","X0",0,"X3","X0","X3","X9410","X1","X0","X8",303497613,165,NA,1909,0,303497613,"N","Manufacturing",2013,0.333333333333333,11
"14073",2,119,9807.03,369995,44,"No","EMEA","HQ",1954,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X6",73138074,165,NA,302,0,73138074,"N","Manufacturing",2013,0.366666666666667,59.5
"14074",2,54,795.06,35289,1,"No","EMEA","HQ",1971,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X7",47305640,165,NA,34,0,73138074,"N","Manufacturing",2013,0.366666666666667,27
"14075",2,67,4881.42,67528,1,"No","EMEA","Single.Location",1960,"N","X0",0,"X3","X0","X3","missing","X0","X0","X2",NA,2,406,406,0,0,"N","Manufacturing",2013,0.4,33.5
"14076",2,80,1629.83,76093,44,"No","EMEA","Branch",1964,"N","X0",0,"X0","X0","X0","missing","X2","X0","X6",NA,165,5,0,0,38138921,"N","Wholesale.Trade",2013,0.433333333333333,40
"14077",2,105,6175.06,147737,1,"No","EMEA","Single.Location",1993,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,400,400,400,0,"N","Services",2013,0.4,52.5
"14078",2,97,3775.33,58097,1,"No","EMEA","Single.Location",1990,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X6",41962740,165,65,65,65,41962740,"N","Manufacturing",2013,0.3,48.5
"14079",2,6,43.51,836,1,"No","EMEA","HQ",1997,"N","X0",0,"X0","X0","X3","missing","X1","X0","X1",NA,2,NA,870,0,0,"Y","Services",2013,0.433333333333333,3
"14080",2,74,2026.78,49945,1,"No","EMEA","Single.Location",1988,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X6",2656487,165,6,6,6,2656487,"N","Services",2013,0.333333333333333,37
"14081",1,8,387.92,510,1,"No","EMEA","Single.Location",1984,"N","X0",0,"X0","X0","X101","X5080","X0","X0","X0",80282,0,1,1,1,80282,"N","Services",2013,0.366666666666667,8
"14084",1,16,70.71,10181,1,"No","APAC","Single.Location",1943,"N","X0",0,"X0","X0","X101","X230","X0","X0","X0",157558,0,96,96,96,157558,"N","Finance..Insurance..Real.Estate",2013,0.266666666666667,16
"14085",1,11,0,0,1,"No","APAC","Branch",2003,"N","X0",0,"X0","X0","X3","missing","X2","X0","X2",NA,3,550,0,0,0,"N","Services",2013,0.366666666666667,11
"14093",2,129,204563.54,4389112,1,"No","USA","HQ",1883,"Y","X0",15063,"X0","X0","X3","X20","X1","X7","X1",3749900000,164,600,21300,600,3749900000,"Y","Manufacturing",2013,0.0666666666666667,64.5
"14095",1,88,4819.72,89364,1,"No","USA","HQ",2004,"N","X0",6215,"X0","X1","X3","X20","X1","X9","X1",4394332,2,30,30,30,4394332,"Y","Services",2013,0.1,88
"14096",1,53,36534.37,174688,1,"No","EMEA","Single.Location",2001,"N","X0",0,"X3","X0","X3","X380","X0","X0","X2",7819296,2,70,70,0,253920,"N","Services",2013,0.333333333333333,53
"14102",1,5,59.14,648,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.2,5
"14107",2,21,37.16,1339,1,"No","APAC","Single.Location",1984,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",88296136,0,243,243,243,88296136,"N","Manufacturing",2013,0.3,10.5
"14110",1,45,318.77,14328,1,"No","APAC","Single.Location",2001,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,2,2,2,0,"N","Services",2013,0.4,45
"14111",1,29,108.3,4714,1,"No","APAC","HQ",1994,"N","X0",0,"X0","X0","X3","X50","X1","X0","X1",191702245,6,NA,3582,0,191702245,"Y","Services",2013,0.333333333333333,29
"14112",1,46,494.22,21802,1,"No","APAC","Single.Location",1993,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",3675398,0,17,17,17,3675398,"N","Services",2013,0.3,46
"14115",2,47,1384.84,60727,1,"No","APAC","HQ",1983,"N","X0",0,"X3","X0","X3","X50","X1","X0","X2",144961071,279,NA,127,0,144961071,"N","Wholesale.Trade",2013,0.333333333333333,23.5
"14117",3,54,346.39,11150,1,"No","APAC","Single.Location",1960,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",9811757,0,53,53,53,9811757,"N","Services",2013,0.3,18
"14118",1,34,359.13,15747,1,"No","APAC","HQ",2002,"N","X0",0,"X0","X0","X120","X160","X1","X0","X1",2112454,3,NA,45,0,2112454,"Y","Finance..Insurance..Real.Estate",2013,0.366666666666667,34
"14119",2,6,157.22,710,1,"No","APAC","Single.Location",2012,"N","X0",0,"X3","X0","X3","missing","X0","X0","X6",NA,33,NA,0,0,479015039,"N","Finance..Insurance..Real.Estate",2013,0.433333333333333,3
"14121",1,8,15.99,691,1,"No","APAC","Single.Location",1913,"N","X0",0,"X3","X0","X3","missing","X0","X0","X3",NA,28,100,100,0,112427948,"N","Finance..Insurance..Real.Estate",2013,0.366666666666667,8
"14122",1,16,212.06,8167,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.33333333333333,16
"14124",2,101,27721.01,318805,1,"No","EMEA","Single.Location",1994,"N","X0",0,"X0","X0","X3","X20","X0","X0","X0",516122000,0,NA,0,0,516122000,"N","Finance..Insurance..Real.Estate",2013,0.366666666666667,50.5
"14125",3,67,37325.8,3848,1,"No","APAC","HQ",1971,"N","X0",0,"X0","X0","X0","X280","X1","X0","X1",2780007125,155,NA,6596,0,2780007125,"Y","Manufacturing",2013,0.333333333333333,22.3333333333333
"14127",2,61,1486.21,17194,1,"No","EMEA","Single.Location",2011,"N","X0",0,"X0","X0","X3","X160","X0","X0","X0",NA,0,4,4,4,0,"N","Services",2013,0.366666666666667,30.5
"14128",2,51,1812.66,37347,1,"No","EMEA","Single.Location",2006,"N","X0",0,"X3","X0","X3","X5080","X0","X0","X3",10362439,175,18,18,18,10362439,"N","Services",2013,0.3,25.5
"14129",1,12,797.53,9904,1,"Yes","EMEA","HQ",1981,"N","X0",0,"X0","X0","X0","missing","X1","X0","X1",NA,4,NA,120,0,0,"Y","Manufacturing",2013,0.4,12
"14132",1,35,528.64,23481,1,"No","APAC","Single.Location",1997,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",44354177,0,105,105,105,44354177,"N","Retail.Trade",2013,0.3,35
"14133",2,73,2496.75,21810,1,"No","APAC","Single.Location",1976,"N","X0",0,"X3","X0","X3","X50","X0","X0","X3",6576907,6,120,120,0,715,"N","Wholesale.Trade",2013,0.333333333333333,36.5
"14134",2,15,85.12,988,1,"No","APAC","HQ",2003,"N","X0",0,"X3","X0","X3","missing","X1","X0","X3",NA,446,NA,38,0,132194870,"N","Services",2013,0.366666666666667,7.5
"14135",2,68,6291.82,252327,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.33333333333333,34
"14136",2,7,149.65,1021,1,"No","APAC","Single.Location",2005,"N","X0",0,"X3","X0","X120","X50","X0","X0","X3",4757755,72,5,5,5,4757755,"N","Wholesale.Trade",2013,0.333333333333333,3.5
"14139",1,51,1604.36,70769,1,"No","APAC","Single.Location",1962,"N","X0",0,"X3","X0","X3","X50","X0","X0","X7",133765684,17,400,400,0,0,"N","Manufacturing",2013,0.3,51
"14140",1,10,9.78,438,1,"No","APAC","Single.Location",NA,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,6000,6000,6000,0,"N","Services",2013,0.4,10
"14141",1,46,1446.4,62627,1,"No","APAC","Single.Location",2009,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Public.Administration",2013,0.433333333333333,46
"14144",2,86,25285.3,482600,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.33333333333333,43
"14145",1,6,38.35,1778,1,"No","APAC","HQ",1982,"N","X0",0,"X0","X0","X3","X50","X1","X0","X1",22535601,3,NA,55,0,22535601,"Y","Finance..Insurance..Real.Estate",2013,0.333333333333333,6
"14147",1,1,0,0,1,"No","APAC","HQ",1980,"N","X0",0,"X3","X0","X3","X110","X1","X0","X2",115045662,242,NA,1000,0,4410174493,"N","Manufacturing",2013,0.333333333333333,1
"14148",2,30,441.06,19428,1,"No","APAC","Single.Location",2002,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",11812216,0,27,27,27,11812216,"N","Construction",2013,0.3,15
"14149",2,2,27.01,319,1,"No","APAC","HQ",1987,"N","X0",0,"X3","X0","X3","missing","X1","X0","X2",NA,24,NA,100,0,10919379,"N","Finance..Insurance..Real.Estate",2013,0.4,1
"14151",2,37,434.41,9657,1,"No","EMEA","HQ",1994,"N","X0",0,"X0","X0","X0","X160","X1","X0","X1",31805492,3,NA,500,0,31805492,"Y","Services",2013,0.366666666666667,18.5
"14152",2,24,39778.53,5,1,"No","EMEA","HQ",1994,"N","X0",0,"X0","X0","X3","X160","X1","X0","X1",16568174,2,NA,80,0,16568174,"Y","Services",2013,0.3,12
"14154",2,33,4137.7,4361,44,"No","EMEA","HQ",2003,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X2",82105274,20,NA,375,584,123771230,"N","Manufacturing",2013,0.333333333333333,16.5
"14156",1,4,15.7,735,1,"No","APAC","Single.Location",2008,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,5,5,5,0,"N","Services",2013,0.4,4
"14157",2,99,38283.97,177968,1,"No","USA","HQ",1999,"N","X2",49350,"X0","X1","X3","X20","X1","X9","X1",63874808,2,148,240,148,63874808,"Y","Services",2013,0.1,49.5
"14158",1,17,44.41,6503,1,"No","APAC","HQ",2001,"N","X0",0,"X3","X0","X3","X230","X1","X0","X3",22741411,2515,NA,69,0,22741411,"N","Wholesale.Trade",2013,0.3,17
"14160",1,16,230.06,9104,1,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,16
"14161",1,6,4.32,180,1,"No","APAC","HQ",1989,"N","X0",0,"X3","X0","X3","X50","X1","X0","X2",8593118,588,NA,296,0,8593118,"N","Manufacturing",2013,0.333333333333333,6
"14164",1,33,194.69,8231,1,"No","APAC","HQ",1966,"N","X0",0,"X3","X0","X3","X50","X1","X0","X2",300158325,4,NA,435,0,300158325,"N","Manufacturing",2013,0.333333333333333,33
"14165",2,58,1194.76,41140,1,"No","APAC","HQ",1996,"N","X0",0,"X3","X0","X3","missing","X1","X0","X2",NA,7,NA,483,0,100592775,"N","Services",2013,0.4,29
"14166",2,50,515.31,17039,1,"No","APAC","Branch",NA,"N","X0",0,"X0","X0","X0","missing","X2","X0","X0",NA,0,NA,0,0,0,"N","Manufacturing",2013,0.433333333333333,25
"14167",3,56,2208.25,21210,1,"No","APAC","HQ",1919,"N","X0",0,"X0","X0","X3","X50","X1","X0","X1",157622283,6,NA,1099,0,157622283,"Y","Services",2013,0.3,18.6666666666667
"14168",1,29,141.85,6252,1,"No","APAC","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,29
"14169",1,1,0.6,7,1,"No","APAC","Single.Location",1994,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Finance..Insurance..Real.Estate",2013,0.4,1
"14170",1,1,0,18,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.33333333333333,1
"14171",1,25,134.49,6073,1,"No","APAC","HQ",1999,"N","X0",0,"X0","X0","X0","X50","X1","X0","X1",391989166,2,NA,2376,0,391989166,"Y","Services",2013,0.4,25
"14174",1,33,405.41,14377,1,"No","APAC","Single.Location",2006,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",4610403,0,14,14,14,4610403,"N","Transportation...Public.Utilities",2013,0.333333333333333,33
"14176",2,9,16.28,292,1,"No","APAC","HQ",2007,"N","X0",0,"X0","X0","X3","X20","X1","X0","X1",2708807,2,NA,14,0,2708807,"Y","Mining",2013,0.333333333333333,4.5
"14177",3,29,9702.49,1656,1,"No","EMEA","HQ",2001,"N","X0",0,"X0","X0","X3","X20","X1","X0","X1",305901000,8,NA,2,0,305901000,"Y","Mining",2013,0.366666666666667,9.66666666666667
"14178",1,34,767.21,32758,1,"No","APAC","Single.Location",NA,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,1,1,1,0,"N","Finance..Insurance..Real.Estate",2013,0.433333333333333,34
"14180",1,46,1934.23,83235,1,"No","APAC","Branch",NA,"N","X0",0,"X0","X0","X0","missing","X2","X0","X0",NA,0,NA,0,0,0,"N","Wholesale.Trade",2013,0.466666666666667,46
"14181",1,69,12383.15,251815,1,"No","EMEA","HQ",1990,"N","X0",0,"X3","X0","X3","X160","X1","X0","X2",2543328,9,NA,30,0,2543328,"N","Services",2013,0.333333333333333,69
"14182",1,10,683.51,14326,1,"Yes","USA","HQ",2000,"N","X2",2425,"X0","X1","X3","X20","X1","X9","X1",1331000,11,7,9,7,1331000,"Y","Services",2013,0.1,10
"14184",1,23,45.69,6586,1,"No","APAC","Single.Location",NA,"N","X0",0,"X0","X0","X101","missing","X0","X0","X0",NA,0,29,29,29,0,"N","Public.Administration",2013,0.4,23
"14185",2,59,1582.31,14450,1,"No","EMEA","HQ",1958,"N","X0",0,"X3","X0","X3","X330","X1","X0","X5",7015303,403,NA,29,0,7015303,"N","Wholesale.Trade",2013,0.366666666666667,29.5
"14187",1,34,1049.43,26890,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,34
"14188",2,15,1654.97,5901,1,"No","USA","Single.Location",2009,"N","X0",7806,"X0","X1","X3","X20","X0","X9","X0",1169270,0,13,13,13,1169270,"N","Services",2013,0.2,7.5
"14189",1,18,56640.05,0,1,"No","USA","Single.Location",2010,"N","X0",2873,"X0","X1","X0","X20","X0","X7","X0",201891,0,3,3,3,201891,"N","Services",2013,0.2,18
"14191",2,64,3674.26,35335,1,"No","EMEA","Single.Location",2016,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",87980,0,3,3,3,87980,"N","Services",2013,0.333333333333333,32
"14192",2,34,3089.83,0,1,"No","EMEA","HQ",1995,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X4",9178839,2718,NA,96,0,9178839,"N","Retail.Trade",2013,0.333333333333333,17
"14193",1,53,471.23,7063,1,"No","EMEA","HQ",1995,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X2",9272498,108,111,124,111,9272498,"N","Services",2013,0.333333333333333,53
"14194",1,11,58.92,256,1,"No","APAC","HQ",1899,"N","X0",0,"X0","X0","X0","X280","X1","X0","X1",23449642965,929,NA,98726,0,23449642965,"Y","Services",2013,0.333333333333333,11
"14196",1,103,13570.51,227148,1,"No","USA","HQ",1996,"N","X0",0,"X3","X0","X3","X30","X1","X0","X5",94122980,165,NA,598,0,94122980,"N","Manufacturing",2013,0.333333333333333,103
"14197",1,108,8040.93,103682,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,108
"14198",1,50,661.44,12591,1,"No","USA","Single.Location",1996,"N","X1",10500,"X0","X0","X3","X20","X0","X8","X0",5329418,0,20,20,20,5329418,"N","Manufacturing",2013,0.1,50
"14199",1,4,19.64,329,1,"No","USA","Single.Location",2015,"N","X0",2218,"X0","X1","X3","X20","X0","X9","X0",55513,0,2,2,2,55513,"N","Services",2013,0.166666666666667,4
"14200",1,3,5.01,52,1,"No","USA","Single.Location",1967,"N","X2",11354,"X0","X1","X3","X20","X0","X9","X0",12925349,0,21,21,21,12925349,"N","Services",2013,0.1,3
"14201",1,32,215.91,4379,1,"No","USA","Single.Location",2010,"N","X0",2989,"X0","X1","X3","X20","X0","X8","X0",347787,0,7,7,7,347787,"N","Services",2013,0.2,32
"14202",1,34,770.87,1266,1,"No","USA","HQ",2014,"N","X1",10086,"X3","X0","X3","X20","X1","X8","X2",76427370,238,27,300,27,76427370,"N","Manufacturing",2013,0.1,34
"14203",3,65,16332.94,310212,44,"No","USA","Single.Location",2013,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",115050,0,2,2,2,115050,"N","Transportation...Public.Utilities",2013,0.266666666666667,21.6666666666667
"14204",1,3,6.88,79,1,"Yes","USA","Single.Location",1990,"N","X0",2000,"X0","X1","X3","X20","X0","X9","X0",5e+05,0,4,4,4,5e+05,"N","Services",2013,0.166666666666667,3
"14206",1,1,1.1,10,1,"No","USA","Single.Location",2002,"N","X0",2688,"X0","X1","X3","X20","X0","X7","X0",2e+05,0,3,3,3,2e+05,"N","Services",2013,0.166666666666667,1
"14207",2,49,1056.67,7002,1,"No","APAC","Single.Location",1986,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,2,2,2,0,"N","Services",2013,0.4,24.5
"14208",1,6,41,926,1,"No","USA","HQ",1996,"N","X2",1472,"X0","X1","X12","X20","X1","X8","X1",10808552,4,2,52,2,10808552,"Y","Services",2013,0.2,6
"14209",1,29,499.86,5067,1,"No","USA","Single.Location",1992,"N","X0",0,"X0","X0","X3","X9100","X0","X0","X0",43722,0,NA,0,0,43722,"N","Manufacturing",2013,0.3,29
"14211",1,1,0.99,3,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X0","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Services",2013,0.5,1
"14212",1,18,157.53,1782,1,"No","EMEA","Single.Location",2010,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",486042,0,4,4,4,486042,"N","Services",2013,0.3,18
"14213",2,48,828.74,18737,1,"No","EMEA","HQ",1981,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X7",20624569,63,NA,186,0,20624569,"N","Manufacturing",2013,0.366666666666667,24
"14214",1,12,83.55,1733,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.2,12
"14215",1,2,9.24,167,1,"No","missing","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.33333333333333,2
"14216",2,19,753.17,9261,1,"No","EMEA","HQ",1986,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X7",3180799,63,NA,15,0,3180799,"N","Wholesale.Trade",2013,0.3,9.5
"14217",1,5,5.93,153,1,"No","EMEA","HQ",1982,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X7",3085207,63,NA,30,0,3085207,"N","Wholesale.Trade",2013,0.333333333333333,5
"14218",2,93,11676.26,192449,44,"No","EMEA","HQ",1992,"N","X0",0,"X3","X0","X3","X160","X1","X0","X7",251775152,63,NA,84,0,0,"N","Construction",2013,0.3,46.5
"14219",2,40,1855.95,41700,1,"No","EMEA","HQ",2009,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X7",36348409,63,NA,210,0,36348409,"N","Manufacturing",2013,0.333333333333333,20
"14220",1,22,897.18,9865,1,"No","USA","HQ",1991,"N","X2",2778,"X0","X1","X3","X20","X1","X9","X1",4194474,3,10,10,10,4194474,"Y","Services",2013,0.1,22
"14222",1,49,1971.27,34385,1,"No","USA","Single.Location",2003,"N","X0",0,"X0","X1","X3","X20","X0","X9","X0",150000,0,2,2,2,150000,"N","Services",2013,0.2,49
"14224",2,18,1474.77,11936,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,9
"14225",2,190,78784.19,462423,1,"No","USA","Single.Location",2000,"N","X0",1565,"X0","X1","X13","X20","X0","X9","X0",65564,0,2,2,2,65564,"N","Services",2013,0.2,95
"14226",2,18,3317.76,9993,78,"No","APAC","HQ",2017,"N","X0",0,"X3","X0","X0","X280","X1","X0","X2",56667337,916,NA,191,0,17984874432,"N","Manufacturing",2013,0.333333333333333,9
"14229",3,191,288084.67,3811077,1,"No","USA","Single.Location",1990,"N","X1",0,"X0","X0","X3","X20","X0","X9","X0",1.61e+08,0,4,2100,4,1.61e+08,"N","Manufacturing",2013,0.2,63.6666666666667
"14230",2,53,11071.74,25451,1,"Yes","USA","Single.Location",2004,"N","X0",0,"X3","X0","X3","missing","X0","X0","X3",NA,78,120,120,0,7505963946,"N","Services",2013,0.366666666666667,26.5
"14231",1,55,5529.18,235374,1,"No","USA","Single.Location",2003,"N","X0",3178,"X0","X1","X12","X20","X0","X9","X0",570000,0,5,5,5,570000,"N","Services",2013,0.1,55
"14232",2,66,9236.5,7592,1,"No","APAC","Single.Location",2010,"N","X0",0,"X0","X0","X3","X50","X0","X0","X0",1378866,0,13,13,13,1378866,"N","Services",2013,0.3,33
"14233",1,1,0.01,2,1,"No","APAC","Branch",1979,"N","X0",0,"X0","X0","X0","missing","X2","X0","X1",NA,5314,45,0,45,0,"N","Services",2013,0.4,1
"14235",2,66,8166.36,64128,1,"No","EMEA","Single.Location",1985,"N","X0",0,"X0","X0","X3","X5080","X0","X0","X0",4262685,0,34,34,34,4262685,"N","Services",2013,0.333333333333333,33
"14236",1,22,298.8,2309,1,"No","EMEA","HQ",2000,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X6",142263765,189,NA,424,0,88311427,"N","Construction",2013,0.333333333333333,22
"14238",2,84,3081.86,39956,1,"No","EMEA","HQ",1994,"N","X0",0,"X3","X0","X3","missing","X1","X0","X2",NA,963,NA,18,0,0,"N","Wholesale.Trade",2013,0.433333333333333,42
"14239",1,47,443.14,6039,1,"No","EMEA","HQ",1990,"N","X0",0,"X3","X0","X12","X9300","X1","X0","X4",24151156,963,220,220,220,24151156,"N","Wholesale.Trade",2013,0.333333333333333,47
"14240",1,3,7.02,28,1,"No","EMEA","Single.Location",1993,"N","X0",0,"X3","X0","X3","missing","X0","X0","X4",NA,963,60,60,60,0,"N","Wholesale.Trade",2013,0.433333333333333,3
"14241",1,6,11.94,0,1,"No","USA","HQ",1992,"N","X1",5500,"X0","X1","X3","X20","X1","X7","X1",3025833,2,25,25,25,3025833,"Y","Services",2013,0.1,6
"14243",1,1,62.44,0,1,"Yes","APAC","HQ",1955,"N","X0",0,"X3","X0","X3","X50","X1","X0","X3",17485939,4,NA,28,0,424590,"N","Wholesale.Trade",2013,0.3,1
"14244",2,36,3222.65,13736,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,140,140,140,0,"N","Services",2013,0.433333333333333,18
"14245",2,75,34252.88,223340,1,"No","EMEA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.2,37.5
"14247",1,28,1737.81,3423,1,"No","USA","HQ",2002,"N","X0",2895,"X0","X1","X3","X20","X1","X6","X1",673943,3,4,4,4,673943,"Y","Services",2013,0.1,28
"14249",4,113,20960.06,544352,1,"No","USA","HQ",1978,"N","X2",25000,"X0","X1","X12","X20","X1","X9","X1",56496527,18,85,350,85,56496527,"Y","Services",2013,0.133333333333333,28.25
"14250",1,3,0.6,77,1,"No","APAC","HQ",2000,"N","X0",0,"X0","X0","X3","X230","X1","X0","X1",16108760,5,NA,1154,0,16108760,"Y","Services",2013,0.3,3
"14251",1,8,275.22,9482,1,"No","USA","Single.Location",2006,"N","X0",0,"X0","X1","X0","X20","X0","X9","X0",110000,0,2,2,2,110000,"N","Services",2013,0.2,8
"14252",1,56,5899.61,77619,1,"No","CANADA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,56
"14253",1,42,4556.19,88372,1,"No","USA","HQ",1991,"N","X1",26000,"X3","X0","X3","X20","X1","X9","X3",111918791,7503,310,1035,25,2.23604e+11,"N","Manufacturing",2013,0.0666666666666667,42
"14254",2,22,86.13,5325,1,"No","EMEA","HQ",2000,"N","X0",0,"X3","X0","X3","X5080","X1","X0","X8",50588457,178,NA,43,0,50588457,"N","Transportation...Public.Utilities",2013,0.366666666666667,11
"14255",1,10,180444.52,0,1,"No","EMEA","HQ",1971,"N","X0",0,"X3","X0","X3","X20","X1","X0","X14",65097521,102,NA,145,0,611690000,"N","Services",2013,0.333333333333333,10
"14258",1,14,71.77,2280,1,"No","EMEA","Single.Location",2011,"N","X0",0,"X3","X0","X120","X5080","X0","X0","X6",534600,2010,20,20,20,534600,"N","Finance..Insurance..Real.Estate",2013,0.366666666666667,14
"14259",1,17,288.02,5093,1,"No","USA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,17
"14260",1,17,664.94,13855,1,"No","CANADA","missing",NA,"missing","missing",NA,"missing","missing","missing","missing","missing","missing","missing",NA,NA,NA,NA,NA,NA,"missing","missing",2013,1.16666666666667,17
"14261",1,17,1032.62,0,1,"No","APAC","HQ",1985,"N","X0",0,"X0","X0","X3","X220","X1","X0","X1",25793400,7,NA,80,0,25793400,"Y","Wholesale.Trade",2013,0.366666666666667,17
"14263",1,5,6,856,1,"No","APAC","Branch",2013,"N","X0",0,"X0","X0","X3","missing","X2","X0","X1",NA,14,NA,0,0,14768568,"N","Services",2013,0.433333333333333,5
"14264",2,97,8281.74,72289,64,"No","APAC","Single.Location",1994,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Public.Administration",2013,0.433333333333333,48.5
"14266",4,180,76728.14,692586,1,"No","USA","HQ",1891,"Y","X1",36586,"X0","X0","X3","X20","X1","X9","X1",1234500000,70,1000,3700,1000,1234500000,"Y","Manufacturing",2013,0.0666666666666667,45
"14268",1,36,1133.6,1501,1,"No","EMEA","Single.Location",NA,"N","X0",0,"X0","X0","X3","missing","X0","X0","X0",NA,0,NA,0,0,0,"N","Services",2013,0.466666666666667,36
"14269",1,6,5.61,286,1,"No","APAC","HQ",NA,"N","X0",0,"X0","X0","X0","X50","X1","X0","X1",2076067733,2,NA,0,0,2076067733,"Y","Transportation...Public.Utilities",2013,0.366666666666667,6
"14270",2,51,4840.69,15756,1,"No","EMEA","Single.Location",2014,"N","X0",0,"X0","X0","X0","X20","X0","X0","X0",47041341,0,4,4,4,47041341,"N","Wholesale.Trade",2013,0.3,25.5
"14273",3,96,87812.3,1384466,1,"No","USA","HQ",2014,"N","X0",4467,"X0","X1","X3","X20","X1","X9","X1",3266166,2,60,60,60,3266166,"Y","Finance..Insurance..Real.Estate",2013,0.166666666666667,32
